Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	2013	2014	2015	2016	2017	2018	2019	2020	Estimates Start After
Australia	Total investment	Percent of GDP		Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2014 National accounts manual used: SNA 2008 GDP valuation: Market prices. Data refer to calendar years Start/end months of reporting year: January/December Base year: 2012/13 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 03/2015	27.605	26.728	27.152	27.540	27.718	27.818	28.048	28.173	2014
Australia	Gross national savings	Percent of GDP		Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2014 National accounts manual used: SNA 2008 GDP valuation: Market prices. Data refer to calendar years Start/end months of reporting year: January/December Base year: 2012/13 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 03/2015	24.279	23.967	23.109	23.867	24.501	24.593	24.805	24.788	2014
Australia	Inflation, average consumer prices	Index		Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2013 Harmonized prices: No. Data refer to calendar years Frequency of source data: Quarterly Base year: 2011/12 Primary domestic currency: Australian dollar Data last updated: 03/2015	103.500	106.075	108.209	110.663	113.273	116.131	119.062	122.067	2013
Australia	Inflation, average consumer prices	Percent change		See notes for:  Inflation, average consumer prices (Index).	2.450	2.488	2.012	2.267	2.359	2.524	2.524	2.524	2013
Australia	Inflation, end of period consumer prices	Index		Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2013 Harmonized prices: No. Data refer to calendar years Frequency of source data: Quarterly Base year: 2011/12 Primary domestic currency: Australian dollar Data last updated: 03/2015	104.800	106.600	109.398	111.492	114.334	117.219	120.177	123.210	2013
Australia	Inflation, end of period consumer prices	Percent change		See notes for:  Inflation, end of period consumer prices (Index).	2.745	1.718	2.625	1.914	2.549	2.524	2.524	2.524	2013
Australia	Six-month London interbank offered rate (LIBOR)	Percent											
Australia	Volume of imports of goods and services	Percent change		Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2013 Base year: 2011/12. Applies to export and import deflators Formula used to derive volumes: Laspeyres-type Chain-weighted: Yes, from before 1980. Annually-reweighted Trade System: General trade. General Merchandise Trade Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 03/2015	-1.814	-1.712	-4.798	1.663	1.981	2.190	2.483	3.086	2013
Australia	Volume of Imports of goods	Percent change		Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2013 Base year: 2011/12. Applies to export and import deflators Formula used to derive volumes: Laspeyres-type Chain-weighted: Yes, from before 1980. Annually-reweighted Trade System: General trade. General Merchandise Trade Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 03/2015	-3.000	-0.426	-4.383	1.638	1.714	1.683	1.973	2.490	2013
Australia	Volume of exports of goods and services	Percent change		Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2013 Base year: 2011/12. Applies to export and import deflators Formula used to derive volumes: Laspeyres-type Chain-weighted: Yes, from before 1980. Annually-reweighted Trade System: General trade. General Merchandise Trade Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 03/2015	6.117	6.764	4.716	5.633	4.560	3.719	2.251	2.331	2013
Australia	Volume of exports of goods	Percent change		Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2013 Base year: 2011/12. Applies to export and import deflators Formula used to derive volumes: Laspeyres-type Chain-weighted: Yes, from before 1980. Annually-reweighted Trade System: General trade. General Merchandise Trade Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 03/2015	6.607	7.273	5.356	6.378	5.076	4.085	2.344	2.499	2013
Australia	Unemployment rate	Percent of total labor force		Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2013 Employment type: National definition. Data refer to calendar years Primary domestic currency: Australian dollar Data last updated: 03/2015	5.658	6.067	6.400	6.200	6.000	5.800	5.600	5.500	2013
Australia	Employment	Persons	Millions	Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2013 Employment type: National definition. Data refer to calendar years Primary domestic currency: Australian dollar Data last updated: 03/2015	11.458	11.557	11.920	12.186	n/a	n/a	n/a	n/a	2013
Australia	Population	Persons	Millions	Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2013 Primary domestic currency: Australian dollar Data last updated: 03/2015	23.311	23.590	23.874	24.160	24.462	24.768	25.077	25.391	2013
Australia	General government revenue	National currency	Billions	Source: Ministry of Finance. Treasury Department Latest actual data: 2013/14. Final Budget Outcome Notes: Social Benefits series comprises social security and welfare spending for which we do not have comparable data prior to 2004. Fiscal assumptions: Fiscal projections are based on Australian Bureau of Statistics data, the 2014-15 budget documents, and the 2014-15 Mid-Year Economic and Fiscal Outlook Start/end months of reporting year: January/December. July/June by authorities, and Jan/Dec by staff GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Other;. Other includes Territory governments Valuation of public debt: Nominal value Primary domestic currency: Australian dollar Data last updated: 03/2015	526.757	544.353	563.079	591.027	626.319	662.442	701.530	742.836	2014
Australia	General government revenue	Percent of GDP		See notes for:  General government revenue (National currency).	33.966	34.027	34.863	34.992	35.413	35.748	35.969	36.190	2014
Australia	General government total expenditure	National currency	Billions	Source: Ministry of Finance. Treasury Department Latest actual data: 2013/14. Final Budget Outcome Notes: Social Benefits series comprises social security and welfare spending for which we do not have comparable data prior to 2004. Fiscal assumptions: Fiscal projections are based on Australian Bureau of Statistics data, the 2014-15 budget documents, and the 2014-15 Mid-Year Economic and Fiscal Outlook Start/end months of reporting year: January/December. July/June by authorities, and Jan/Dec by staff GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Other;. Other includes Territory governments Valuation of public debt: Nominal value Primary domestic currency: Australian dollar Data last updated: 03/2015	573.996	601.595	616.469	636.237	661.951	689.121	722.565	760.259	2014
Australia	General government total expenditure	Percent of GDP		See notes for:  General government total expenditure (National currency).	37.012	37.605	38.169	37.669	37.427	37.188	37.047	37.038	2014
Australia	General government net lending/borrowing	National currency	Billions	Source: Ministry of Finance. Treasury Department Latest actual data: 2013/14. Final Budget Outcome Notes: Social Benefits series comprises social security and welfare spending for which we do not have comparable data prior to 2004. Fiscal assumptions: Fiscal projections are based on Australian Bureau of Statistics data, the 2014-15 budget documents, and the 2014-15 Mid-Year Economic and Fiscal Outlook Start/end months of reporting year: January/December. July/June by authorities, and Jan/Dec by staff GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Other;. Other includes Territory governments Valuation of public debt: Nominal value Primary domestic currency: Australian dollar Data last updated: 03/2015	-47.239	-57.242	-53.390	-45.210	-35.632	-26.679	-21.034	-17.423	2014
Australia	General government net lending/borrowing	Percent of GDP		See notes for:  General government net lending/borrowing (National currency).	-3.046	-3.578	-3.306	-2.677	-2.015	-1.440	-1.078	-0.849	2014
Australia	General government structural balance	National currency	Billions	Source: Ministry of Finance. Treasury Department Latest actual data: 2013/14. Final Budget Outcome Notes: Social Benefits series comprises social security and welfare spending for which we do not have comparable data prior to 2004. Fiscal assumptions: Fiscal projections are based on Australian Bureau of Statistics data, the 2014-15 budget documents, and the 2014-15 Mid-Year Economic and Fiscal Outlook Start/end months of reporting year: January/December. July/June by authorities, and Jan/Dec by staff GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Other;. Other includes Territory governments Valuation of public debt: Nominal value Primary domestic currency: Australian dollar Data last updated: 03/2015	-39.689	-48.240	-44.650	-37.759	-30.141	-23.386	-19.695	-17.360	2014
Australia	General government structural balance	Percent of potential GDP		See notes for:  General government structural balance (National currency).	-2.583	-2.989	-2.713	-2.213	-1.692	-1.257	-1.008	-0.846	2014
Australia	General government primary net lending/borrowing	National currency	Billions	Source: Ministry of Finance. Treasury Department Latest actual data: 2013/14. Final Budget Outcome Notes: Social Benefits series comprises social security and welfare spending for which we do not have comparable data prior to 2004. Fiscal assumptions: Fiscal projections are based on Australian Bureau of Statistics data, the 2014-15 budget documents, and the 2014-15 Mid-Year Economic and Fiscal Outlook Start/end months of reporting year: January/December. July/June by authorities, and Jan/Dec by staff GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Other;. Other includes Territory governments Valuation of public debt: Nominal value Primary domestic currency: Australian dollar Data last updated: 03/2015	-34.231	-41.750	-36.176	-26.508	-15.917	-6.170	0.645	5.533	2014
Australia	General government primary net lending/borrowing	Percent of GDP		See notes for:  General government primary net lending/borrowing (National currency).	-2.207	-2.610	-2.240	-1.569	-0.900	-0.333	0.033	0.270	2014
Australia	General government net debt	National currency	Billions	Source: Ministry of Finance. Treasury Department Latest actual data: 2013/14. Final Budget Outcome Notes: Social Benefits series comprises social security and welfare spending for which we do not have comparable data prior to 2004. Fiscal assumptions: Fiscal projections are based on Australian Bureau of Statistics data, the 2014-15 budget documents, and the 2014-15 Mid-Year Economic and Fiscal Outlook Start/end months of reporting year: January/December. July/June by authorities, and Jan/Dec by staff GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Other;. Other includes Territory governments Valuation of public debt: Nominal value Primary domestic currency: Australian dollar Data last updated: 03/2015	211.811	271.440	321.913	364.539	397.864	422.503	442.156	458.935	2014
Australia	General government net debt	Percent of GDP		See notes for:  General government net debt (National currency).	13.658	16.967	19.931	21.583	22.496	22.800	22.670	22.358	2014
Australia	General government gross debt	National currency	Billions	Source: Ministry of Finance. Treasury Department Latest actual data: 2013/14. Final Budget Outcome Notes: Social Benefits series comprises social security and welfare spending for which we do not have comparable data prior to 2004. Fiscal assumptions: Fiscal projections are based on Australian Bureau of Statistics data, the 2014-15 budget documents, and the 2014-15 Mid-Year Economic and Fiscal Outlook Start/end months of reporting year: January/December. July/June by authorities, and Jan/Dec by staff GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Other;. Other includes Territory governments Valuation of public debt: Nominal value Primary domestic currency: Australian dollar Data last updated: 03/2015	476.386	548.052	615.059	678.180	731.923	770.497	803.799	834.969	2014
Australia	General government gross debt	Percent of GDP		See notes for:  General government gross debt (National currency).	30.718	34.258	38.081	40.152	41.384	41.579	41.213	40.678	2014
Australia	Gross domestic product corresponding to fiscal year, current prices	National currency	Billions	Source: Ministry of Finance. Treasury Department Latest actual data: 2013/14. Final Budget Outcome Notes: Social Benefits series comprises social security and welfare spending for which we do not have comparable data prior to 2004. Fiscal assumptions: Fiscal projections are based on Australian Bureau of Statistics data, the 2014-15 budget documents, and the 2014-15 Mid-Year Economic and Fiscal Outlook Start/end months of reporting year: January/December. July/June by authorities, and Jan/Dec by staff GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Other;. Other includes Territory governments Valuation of public debt: Nominal value Primary domestic currency: Australian dollar Data last updated: 03/2015	1,550.849	1,599.790	1,615.125	1,689.035	1,768.623	1,853.075	1,950.376	2,052.622	2014
Australia	Current account balance	U.S. dollars	Billions	Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2013 BOP Manual used: BPM 6 Primary domestic currency: Australian dollar Data last updated: 03/2015	-49.958	-39.875	-50.631	-47.082	-42.589	-44.220	-46.298	-50.455	2013
Australia	Current account balance	Percent of GDP		See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).	-3.326	-2.761	-4.043	-3.673	-3.217	-3.226	-3.243	-3.384	2013
Austria	Gross domestic product, constant prices	National currency	Billions	Source: National Statistical Office Latest actual data: 2013 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 03/2015	306.622	307.665	310.298	315.153	319.504	323.483	327.307	330.796	2013
Austria	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.228	0.340	0.856	1.565	1.381	1.245	1.182	1.066	2013
Austria	Gross domestic product, current prices	National currency	Billions	Source: National Statistical Office Latest actual data: 2013 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 03/2015	322.595	328.876	336.166	346.615	356.892	366.724	376.792	386.867	2013
Austria	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	428.456	437.123	380.555	392.792	408.442	424.647	441.657	461.591	2013
Austria	Gross domestic product, deflator	Index		See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).	105.209	106.894	108.337	109.983	111.702	113.367	115.119	116.950	2013
Austria	Gross domestic product per capita, constant prices	National currency	Units	See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).	36,139.895	36,111.789	36,264.614	36,673.329	37,031.566	37,343.319	37,634.317	37,883.951	2013
Austria	Gross domestic product per capita, current prices	National currency	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	38,022.500	38,601.374	39,287.830	40,334.509	41,364.945	42,335.135	43,324.165	44,305.337	2013
Austria	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	50,499.804	51,306.674	44,475.589	45,707.926	47,339.768	49,021.850	50,782.374	52,863.057	2013
Austria	Output gap in percent of potential GDP	Percent of potential GDP		See notes for:  Gross domestic product, constant prices (National currency).	-0.324	-0.982	-1.140	-0.621	n/a	n/a	n/a	n/a	2013
Austria	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP	Current international dollar	Billions	See notes for:  Gross domestic product, current prices (National currency).	388.486	395.490	402.420	414.839	429.223	443.907	458.109	472.139	2013
Austria	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	45,788.763	46,420.129	47,031.004	48,273.493	49,748.327	51,245.345	52,674.066	54,070.995	2013
Austria	Gross domestic product based on purchasing-power-parity (PPP) share of world total	Percent		See notes for:  Gross domestic product, current prices (National currency).	0.377	0.366	0.358	0.350	0.342	0.334	0.325	0.316	2011
Austria	Implied PPP conversion rate	National currency per current international dollar		See notes for:  Gross domestic product, current prices (National currency).	0.830	0.832	0.835	0.836	0.831	0.826	0.822	0.819	2013
Austria	Total investment	Percent of GDP		Source: National Statistical Office Latest actual data: 2013 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 03/2015	22.837	23.132	23.311	23.616	23.644	23.577	23.503	23.408	2013
Austria	Gross national savings	Percent of GDP		Source: National Statistical Office Latest actual data: 2013 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 03/2015	23.875	24.954	25.192	25.443	25.482	25.344	25.241	25.124	2013
Austria	Inflation, average consumer prices	Index		Source: National Statistical Office Latest actual data: 2014 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2005 Primary domestic currency: Euro Data last updated: 03/2015	118.803	120.536	121.877	123.705	125.622	127.695	129.930	132.333	2014
Austria	Inflation, average consumer prices	Percent change		See notes for:  Inflation, average consumer prices (Index).	2.117	1.458	1.112	1.500	1.550	1.650	1.750	1.850	2014
Austria	Inflation, end of period consumer prices	Index		Source: National Statistical Office Latest actual data: 2014 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2005 Primary domestic currency: Euro Data last updated: 03/2015	120.411	122.167	123.526	125.379	127.322	129.423	131.688	134.124	2014
Austria	Inflation, end of period consumer prices	Percent change		See notes for:  Inflation, end of period consumer prices (Index).	2.000	1.458	1.113	1.500	1.550	1.650	1.750	1.850	2014
Austria	Six-month London interbank offered rate (LIBOR)	Percent											
Austria	Volume of imports of goods and services	Percent change		Source: Central Bank Latest actual data: 2013 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: Yes, from 1988 Trade System: Other Excluded items in trade: Other; Oil coverage: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 03/2015	-0.298	2.351	2.653	5.136	5.434	5.748	5.940	6.021	2013
Austria	Volume of Imports of goods	Percent change		Source: Central Bank Latest actual data: 2013 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: Yes, from 1988 Trade System: Other Excluded items in trade: Other; Oil coverage: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 03/2015	-1.344	1.910	3.000	5.120	5.500	5.750	5.940	6.300	2013
Austria	Volume of exports of goods and services	Percent change		Source: Central Bank Latest actual data: 2013 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: Yes, from 1988 Trade System: Other Excluded items in trade: Other; Oil coverage: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 03/2015	1.413	1.544	2.684	5.098	5.378	5.779	5.954	5.968	2013
Austria	Volume of exports of goods	Percent change		Source: Central Bank Latest actual data: 2013 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: Yes, from 1988 Trade System: Other Excluded items in trade: Other; Oil coverage: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 03/2015	0.377	1.700	2.890	5.010	5.450	5.935	6.060	6.100	2013
Austria	Unemployment rate	Percent of total labor force		Source: National Statistical Office Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015	4.917	5.000	5.100	5.000	4.800	4.600	4.500	4.500	2014
Austria	Employment	Persons	Millions	Source: National Statistical Office Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015	3.483	3.504	3.523	3.547	n/a	n/a	n/a	n/a	2014
Austria	Population	Persons	Millions	Source: National Statistical Office Latest actual data: 2014 Primary domestic currency: Euro Data last updated: 03/2015	8.484	8.520	8.556	8.594	8.628	8.662	8.697	8.732	2014
Austria	General government revenue	National currency	Billions	Source: National Statistical Office Latest actual data: 2013 Fiscal assumptions: Projections take only the tax-related measures for the financing of the recent income tax reform into account (although the yield from the anti-tax fraud measures is highly uncertain). For 2014, the creation of a defeasance structure for Hypo Alpe Adria is assumed to increase the general government debt-to-GDP ratio by 5½ percentage points, and the deficit effect arising from Hypo is assumed at 1.8 percentage points. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 03/2015	159.555	164.345	168.918	172.218	177.382	182.322	187.328	192.337	2013
Austria	General government revenue	Percent of GDP		See notes for:  General government revenue (National currency).	49.460	49.972	50.248	49.686	49.702	49.717	49.717	49.717	2013
Austria	General government total expenditure	National currency	Billions	Source: National Statistical Office Latest actual data: 2013 Fiscal assumptions: Projections take only the tax-related measures for the financing of the recent income tax reform into account (although the yield from the anti-tax fraud measures is highly uncertain). For 2014, the creation of a defeasance structure for Hypo Alpe Adria is assumed to increase the general government debt-to-GDP ratio by 5½ percentage points, and the deficit effect arising from Hypo is assumed at 1.8 percentage points. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 03/2015	164.328	175.309	174.690	178.150	182.744	187.459	192.309	197.328	2013
Austria	General government total expenditure	Percent of GDP		See notes for:  General government total expenditure (National currency).	50.940	53.305	51.965	51.397	51.204	51.117	51.038	51.007	2013
Austria	General government net lending/borrowing	National currency	Billions	Source: National Statistical Office Latest actual data: 2013 Fiscal assumptions: Projections take only the tax-related measures for the financing of the recent income tax reform into account (although the yield from the anti-tax fraud measures is highly uncertain). For 2014, the creation of a defeasance structure for Hypo Alpe Adria is assumed to increase the general government debt-to-GDP ratio by 5½ percentage points, and the deficit effect arising from Hypo is assumed at 1.8 percentage points. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 03/2015	-4.773	-10.964	-5.773	-5.932	-5.362	-5.136	-4.980	-4.991	2013
Austria	General government net lending/borrowing	Percent of GDP		See notes for:  General government net lending/borrowing (National currency).	-1.480	-3.334	-1.717	-1.711	-1.503	-1.401	-1.322	-1.290	2013
Austria	General government structural balance	National currency	Billions	Source: National Statistical Office Latest actual data: 2013 Fiscal assumptions: Projections take only the tax-related measures for the financing of the recent income tax reform into account (although the yield from the anti-tax fraud measures is highly uncertain). For 2014, the creation of a defeasance structure for Hypo Alpe Adria is assumed to increase the general government debt-to-GDP ratio by 5½ percentage points, and the deficit effect arising from Hypo is assumed at 1.8 percentage points. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 03/2015	-4.963	-3.595	-2.938	-4.891	-4.855	-4.944	-5.010	-5.034	2013
Austria	General government structural balance	Percent of potential GDP		See notes for:  General government structural balance (National currency).	-1.534	-1.082	-0.864	-1.402	-1.356	-1.347	-1.330	-1.302	2013
Austria	General government primary net lending/borrowing	National currency	Billions	Source: National Statistical Office Latest actual data: 2013 Fiscal assumptions: Projections take only the tax-related measures for the financing of the recent income tax reform into account (although the yield from the anti-tax fraud measures is highly uncertain). For 2014, the creation of a defeasance structure for Hypo Alpe Adria is assumed to increase the general government debt-to-GDP ratio by 5½ percentage points, and the deficit effect arising from Hypo is assumed at 1.8 percentage points. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 03/2015	2.149	-4.040	1.201	2.828	3.851	4.557	4.909	5.077	2013
Austria	General government primary net lending/borrowing	Percent of GDP		See notes for:  General government primary net lending/borrowing (National currency).	0.666	-1.228	0.357	0.816	1.079	1.243	1.303	1.312	2013
Austria	General government net debt	National currency	Billions	Source: National Statistical Office Latest actual data: 2013 Fiscal assumptions: Projections take only the tax-related measures for the financing of the recent income tax reform into account (although the yield from the anti-tax fraud measures is highly uncertain). For 2014, the creation of a defeasance structure for Hypo Alpe Adria is assumed to increase the general government debt-to-GDP ratio by 5½ percentage points, and the deficit effect arising from Hypo is assumed at 1.8 percentage points. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 03/2015	157.716	168.102	171.419	174.702	177.113	179.749	181.064	182.388	2013
Austria	General government net debt	Percent of GDP		See notes for:  General government net debt (National currency).	48.890	51.114	50.992	50.402	49.627	49.015	48.054	47.145	2013
Austria	General government gross debt	National currency	Billions	Source: National Statistical Office Latest actual data: 2013 Fiscal assumptions: Projections take only the tax-related measures for the financing of the recent income tax reform into account (although the yield from the anti-tax fraud measures is highly uncertain). For 2014, the creation of a defeasance structure for Hypo Alpe Adria is assumed to increase the general government debt-to-GDP ratio by 5½ percentage points, and the deficit effect arising from Hypo is assumed at 1.8 percentage points. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 03/2015	261.978	285.544	298.464	302.897	307.809	313.245	318.226	323.217	2013
